0	score	hospital
ที่จอดมอไซด์ควรมีป้ายบอกแสดงให้ดูด้วยว่าตรงไหนจอดไม่ได้และยามที่อยู่ตรงจุดนั้นควรบอกประชาชนที่มาติดต่อด้วยไม่ใช่ยืนดูพอลับหลังมาล๊อคลัอแล้วให้เสียค่าปรับทำเกินกว่าเหตร.พคือที่บริการประชาชนไม่ใช่ที่ส่วนบุคคลนะและอบรมคำพูดของยามแต่ละตัวด้วยชอบใช้คำพูดหยาบคายไร้การศึกษาท่านผ.อลงมาดูหน่อยนะอย่าให้ถึงกับเอาคลิบออกมาแฉเลยนะเดียวจะดังจุดก็ไม่เคยอยู่บางครั้งก็เล่นแต่โทรศัพท์ยามที่ชื่อ นภัชรา หวังเมืองอีกคนและหัวหน้ายามอีกคนพูดจาไม่สุภาพผมพูดจริงไม่ได้ใส่ร้ายใครเรียกไปชี้แจงได้0847355004	5	Rama
จริยธรรมกับแพทย์เป็นคู่แท้ที่ไม่ควรแยกจากกัน	5	Rama
ทุกอย่างดีหมดค่ะ แต่ตรงมาต่อใบส่งตัวนี่มายืนรอตั้งแต่08:10นะค่ะ ตอนนี้ 09:15 ผ่านไป40คน ล้ะ หนูจะรอต่อไปอีก20คนนะค่ะ	3	Rama
การรักษาถือว่าโอเครนะคร๊ แต่เรื่องที่จอดรถควรปรับปรุงเป้นอย่างมาก เพราะผู้ป่วยมาหาหมอแต่ละทีไม่มีที่จอดรถเลย ในโรงบาลก้อบอกให้จอดได้แต่เจ้าหน้า ตายห่าพอดีแระ คนป่วยรึญาติมาเยี่ยมผู้ป่วยต้องไปรถไว้ปั้มน้ำมันแล้วนั่งแท็กซี่มา แล้วจะมารถส่วนตัวไว้เพื่อ โรงบาลก้อใหญ่ แระ รวย แนะนำนะคร๊ทำที่รถเหมือนในห้างเลยคร๊ ทำหลายๆชั้นเพื่อรองรับคุนหมอ พยาบาลแระเจ้าหน้า ผู้ป่วยไม่ต้องสนใจหรอกคร๊	1	Rama
ตั้งแต่ก้าวแรกจนถึงก้าวสุดท้าย ตั้งแต่บุรุษรถเข็น ผู้ช่วย พยาบาล และคุณหมอ แพทย์ นักศึกษาแพทย์ ทุกตำแหน่ง ทำไห้คนไข้และญาติอย่างหนูประทับใจอย่างมากๆค่ะ ขอบคุณที่ช่วยรักษาคนไข้ค่ะ ขอบคุณจริงๆค่ะ	5	Rama
ใจดีทุกคนคะพูดเพราะมากเอาใจใส่ทุกอย่างขอบพระคุณมากนะคะ..แต่แม่บ้านหยิ่งจริงๆมองเราไม่ดี(เราจนน่ะคะ)	5	Rama
ลุงปวดขา ขอจ่ายเงิน ก่อน ไม่น่ามีคำพูดแบบนี้ออกมาจาก คนแซงคิวนะครับ การเงิน ก็ไม่มีปากพูดเลยนะครับ ผมว่า คนมาโรงพยาบาล ทุกคนก็ป่วยด้วยกันทั้งนั้นแหละครับ	1	Rama
พ่อผมไม่สบาย	1	Rama
พยาบาลหลายท่านก้อดีและไม่ดี โดยเฉพาะแผนกห้องสังเกตุอาการ. อีอ้วนๆ บริการห่วยแตก. พูดจาแย่มาก. ถ้าผู้ใหญ่บนๆได้อ่านฝากแก้ไขพยาบาลแย่ๆกับเจ้าที่ห่วยๆด้วยนะ. ห้องฉุกเฉินพอๆกัน แย่มากกก. ไม่น่าเป็นรพชั้นนำ ของประเทศได้ เสียดายความสามารถหมอ	1	Rama
อยากจะให้ 5 ดาวเหมือนกัน ติดตรงที่เจ้าหน้าที่พยาบาลเจาะเลือดหงุดหงิดใส่ เขาเจาะเราน่ะ คงลืมไปมั่งคนไข้ก็คนน่ะ เจ็บเป็นเหมือนกัน ถ้าไม่อยากทำงานแบบนี้น่าจะลาออกไปสะ ทำตัวน่าเกลียดจริง ๆ	4	Rama
ไปตรวจที่คลินิกพิเศษหูคอจมูก พรีเมี่ยม หมอเขียนใบสั่งยาก่อนตรวจและใช้เวลาตรวจประมาณ 1-2 นาที แบบไม่ได้ดูว่าตรวจแล้วเป็นอย่างไร ทำไปเพียงให้ได้้ชื่อว่าได้ตรวจแล้ว ไม่รู้จะรีบไปไหน.. ลองคิดดูว่าคนไข้ใช้เวลานัด กว่าจะได้เวลา รอประมาณ 2 อาทิตย์ เสียความรู้สึก แย่มากๆ	2	Rama
ทั้งที่เป็นโรงพยาบาลชั้นนำทั้งด้านการรักษาและทีมแพทย์ แต่สิ่งที่สมควรพัฒนาคือคุณภาพด้านการบริการตั้งแต่พยาบาล ER เดินก้าวเข้าไปก็สร้างความรู้สึกแย่ตั้งแต่แรกรับคะ	2	Rama
ตั้งแต่ 30 ปีที่ผ ่านมาบริการดีมากแต่ระยะหลังนี้หล้าช้ามากค่ะ	5	Rama
ขอขอบพระคุณอาจารย์ พ.ญ.พิมพ์ใจ นิษารักษ์ ที่ให้การเอาใจใส่ดูแลผู้ป่วยเป็นอย่างดี	5	Rama
ไหล่หลุด ไปดึงเข้าที่ไม่มีการ xray ยาก็ไม่มีชุ่ยมากๆปวดตั้งแต่ 10 โมงร้องจนกรามค้างรอเลิกงานไป er ดันเจอชุดเดิมที่นี่หนักกว่าเก่าอีก คำทีพูดมาคุณควรคิดนะว่าสมควรจะอยู่ต่อไหม หลุดก็หลุดไปแถมยังเอาอะไรมาพันอีกเจ็บมากต้องรีบแกะทิ้ง พยาบาลเอาสำลีห้ามเลือดแต่ไม่ยอมดูว่าเลือดหยดได้ไม่เป็นไรแกะเองได้เลือดที่หยดทำไงดีสะบัดใส่หน้าพยาบาลเลยแล้วกันบอกไปว่าผมเรียกคุณแล้วแต่ไม่ฟังมีหัวไว้กั้นหู พอออกจากนี้ต้องหาโรงพยาบาลใกล้ที่สุดหมดไปหลายหมื่นเพราะการรักษาชุ่ยๆแบบนี้	1	Rama
พยาบาลที่นี้พูดจาควยมากกูบอกเลยกูโครตหมดความอดทน เจ้าหน้าบางคนก็พูดจาทำหน้าตาไม่พอใจมึงมาทำ ทำไมว่ะพยาบาลนี้เก็บกฎมาหรอคือกูถามเหี้ยอะไรเคยตอบกูได้ป่ะ อะไรก็หมอ หมอสัสไห้กูรอหมออย่างเดียวกูก็ตายสิกูพูดดาวกูไม่อยากไห้หรอกพูดเลย มันแย่ว้ะโตเป็นควายผู้ไหญ่และทำตัวและยิ่งคนแก่บางคนน่ะพูดจากับเขา แย่ค่ะบริการแย่มาก แต่ขอบคุณหมอบางคน เจ้าหน้าที่บางคนที่ช่วยเหลือตลอดเวลาบริการดี✌️	1	Rama
ขอบคุณสำหรับ15ปีที่แล้วที่ดูแลหนู หนูอาจจะดื้อมากในตอนเด็กๆนิสัยไม่ดีกับพยาบาลตอนนอนอยู่เด็ก2 ขอโทษด้วยนะคะ ขออโหสิกรรมด้วย ร.พ รามา ดีมากๆ สอนให้ทำหลายอย่างๆเวลานอน ร.พ และมีเพื่อนๆใน ร.พ คะ และขอขอบคุณที่ทำให้หนูมีชีวิตรอดมาค่ะ แม้ทุกวันนี้อาจจะไม่หายก้อตาม แต่เดี๋ยวนี้รักษาอยู่ มหาราชเชียงใหม่แล้วค่ะทุกวันนี้..โรงพยายาลรามาดีกับหนูมากๆเก็บไว้เป็นความรู้สึกดีๆตลอดกาลค่ะ	5	Rama
รบกวนสอบถามหน่อยคะ หมอรักษาเด็ก เปิดวันไหน บ้างคะ ใครทราบ รบกวน ตอบกลับหน่อยนะคะ	4	Rama
พยาบาลพูดจาไม่ค่อยจะดีเท่าไหร่ ไม่รุ้จักว่าใครคือคนที่จะเคารพหรือไม่ คนแก่ชราก้อด่าเค้าเกินไป	5	Rama
รักษาดีตอนใช้สิทธิเบิกราชการและเสียเงินได้ยาเร็วพอใช้สิทธ30บาทรอยาเป็นอาทิตย์โรงบาลใหญ่สักยภาพระดับโลกไม่น่าจะไม่มียา	3	Rama
พยาบาลที่นี้พูดจาแย่มากกูบอกเลยกูโครตหมดความอดทน เจ้าหน้าบางคนก็พูดจาทำหน้าตาไม่พอใจมึงมาทำ ทำไมว่ะพยาบาลนี้เก็บกฎมาหรอคือกูถามเยี้ยอะไรเคยตอบกูได้ป่ะ อะไรก็หมอ หมอสั....ให้กูรอหมออย่างเดียวกูก็ตายสิกูพูดดาวกูไม่อยากไห้หรอกพูดเลย แย่ค่ะบริการแย่มาก แต่ขอบคุณหมอบางคน เจ้าหน้าที่บางคนที่ช่วยเหลือตลอดเวลาบริการดี✌️	1	Rama
อยากจะบอกทุกคนว่า ตลอดชีวิต ของฉัน รักษา รพ รามาตลอดค่ะ ฉันคิดว่าฉันภมิใจ ในรามาธิบดี อบอ่นทุกครั้ง ที่เข้ามาใน รพ รามาและไม่เคยบืมที่จะบริจาคเข้ามูลนิธิ ตลอดค่ะ น้อยบ้าง มากบ้าง ตามอัตภาพ ดีใจค่ะ	5	Rama
ขอโทษนะค่ะ อยากจะสอบถามทางโรงพยาบาลรามาธบดี เกี่ยวกับการเปิดรับบริจาค #เครื่องสำอางเก่าๆเพื่อแต่งหน้าศพ# อะค่ะว่ายังเปิดรับบริจาคมั่ย คือทางเราจะทำการเปิดรับบริจาคเพื่อการทำบุญแล้วส่งต่อไปยังทางโรงพยาบาล เลยอยากทราบว่าทางโรงพยาบาลยังเปิดรับอยู่รึป่าว รบกวนผู้ทราบเรื่องนี้ติดต่อกลับ 081-0887436 FB. Waksy JS. ID. ib523 ขอพื้นที่เล็กเพื่อสอบถามหน่อยน่ะค่ะ	4	Rama
ถามอะไรหน่อยได้ไหม พอจะรู้จักใครที่เขามีปัญหาสุขภาพ เช่น คนที่อยากจะลดน้ำหนัก กระชับสัดส่วน ต้นแขนต้นขา หน้าท้อง เพิ่มน้ำหนัก อยากผิวขาว มีออร่า สิว เพิ่มหน้าอก อยากเพิ่มนาด ใหญ่ ยาว อึด ทน นาน เพิ่มน้ำ เพิ่มรอบให้ยาวนาน และคนที่มีปัญหาเรื่องการขับถ่าย อย่าง2-3วันถ่ายที่และญาติผู้ใหญ่เป็นโรค ประจำ เช่น.ความดัน,เบาหวาน,โรคหัวใจ,โรคมะเร็ง ถ้ามีช่วยแนะนำให้ด้วยนะ ขอบคุณมากๆๆจร้า	5	Rama
พยาบาล หน่วยฝากครรภ์ น่ารักมากเลยค่ะ บริการดีค่ะ	5	Rama
ขอบคุณทีมแพทย์และเจ้าหน้าที่ทุกท่าน ที่สละเวลาทำการผ่าตัดคุณแม่ เมาะห์ สันเต๊ะ วัย82 ปีโดยใช้เวลายาวนานถึง 8 ชม จนคุณแม่ปลอดภัย และกลับมาใช้ชีวิตได้ตามปรกติอีกครั้ง ขอให้กำลังใจในส่วนของคณะแพทย์และเจ้าหน้าที่ทุกท่าน ขอให้ครอบครัวของท่านประสบแด่ความสุขความเจริญตลอดไป ขอบคุณจากใจ ขอบคุณคะ	5	Rama
ชอบสถานที่สะอาดการไปมาสะดวกระหว่างตึกพนักงานขับรถดีมากมีน้ำใจคอยช่วยเหลือคนป่วยให้มีความคล่องตัวมากขึ้น	4	Rama
สุดยอดบริการดีมากๆ 29.มิ.ยเราจะมาอีกหมอนัด	5	Rama
คำว่าห้องฉุกเฉินแพทย์และพยาบาลต้องพร้อมที่ปฎิงานและช่วยเหลือคนป่วยแต่นี่อะไรพยายาลนั่งเล่นแต่มือมันใช่เวลาไหม?คุณไม่สมควรอย่างยิ่งยิ่งเป็นรพ.ของรัฐแล้วถ้าคุณไม่พร้อมคุณออกไปซะเห็นแล้วเสียความรู้สึกมากๆคนป่วยเขาทุกข์เขาเจ็บปวดและทรมานพวกคุณขึ้นชื่อว่าเป็นผู้รักษาจงทำหน้าที่ไห้ดีที่สุด...	1	Rama
บริการแย่ โดยเฉพาะพวกพยาบาล	1	Rama
ลูกสาวแอดมิทมาจากคลีนิคคะ ก็หวั่นๆ เหมือนกันเพราะเราคนตจว.อ่ะ ต้องนอนห้องรวมหาห้องพิเศษไม่ได้ แต่พอเข้ามาทีมแพทย์น่ารักมาก น่าตาดีทั้งผช.และผญ.มาซักประวัติแล้ว ให้เข้าไปขึ้นตึกผู้ป่วย ตึก 1 ชั้น 5 พอตอนเช้าลูกสาวบอกเข้ามารุมถามประวัติ คุยแบบกันเองมากๆ เขารู้สึกประทับใจ ห้องรวมก็จริงแต่แอร์เย็นสบายๆๆ มาก รู้สึกดีมากคะ	4	Rama
การรักษาของโงบาลนี้ถือว่าดีมากค่ะ แต่ค่าใช้จ่ายก็สูงเหมือนกัน เกือบทรุด พอบิลค่ารักษาออก	5	Rama
มาตรวจไม่มีใครบอกอะไรติดต่อยังไง ระบบจัดการแย่ พอถามก้อพูดจาแย่ๆ ใส่ เจอทั้งพยาบาล และเด็กเข็นรถเอกสารเหวี่ยง คือเราพูดดีนะ เค้าใส่อารมณ์มาก ไม่รู้นะ อาจจะมีเรื่องส่วนตัว หรือโดนอะไรมา โตๆ แล้วควรแยกแยะเรื่องงานกับเรื่องส่วนตัว ทำงานบริการ มีคนไข้เยอะแยะ พูดจาแย่ๆ เสียภาพลักษณ์โรงพยาบาลหมด	1	Rama
ทำฟันฝีมือเยี่ยม คุณหมอ คุณพยาบาลก็มีคุณภาพนี่นา แล้วอะไรที่ไม่ดี แจ้งหัวหน้าเจ้าหน้าทีไปเลยค่ะ	1	Rama
ปรับปรุงเรื่องการบริการของพยาบาลด้วยนะคะ	2	Rama
"เอาจิงๆ ไม่อยากจะให้สักดาว พยาบาลปากหมาบุรุษพยายาล เจ้าหน้าที่ ทุเรศมาก พูดมาได้ไง""คนไข้เยอะชิบหาย โรคจะติดกุไหม"" เอาไรคิดสมองหรือหัวแม่ตีน ส่วนอีเจ้าหน้าพูดไม่ดูตาม้าตาเรือ ถ้าเปนญาติพวกมึง ขอให้ตายห่าไปเลย สัส!! กุแค้นมาก คิดจะทำงานบริการก้อหัดคิดให้เปน ถ้าไม่ได้ก้อไปทำอย่างอื่นไป!!!"	1	Rama
วันที่ 13-25 นี้ มีการฉีดวัณซีนไข้หวัดใหญ่ คือถ้าเราอยู่ในกลุ่มเสี่ยง ทานยาเพนนิโซโลน นี่เข้าข่ายใช่มั้ยคะ เพราะเป็นที่โรคเกี่ยวกับภูมิคุ้มกัน	4	Rama
พรุ่งนี้..จะพาลูกชายปัยฟักฟื้นเรื่องสมอง..ขอหั้ยเจอสิ่งดีๆๆด้วยเทอด...แค่นี้แม่คนนี้ก็กินม่ด้ายนอนม่หลับแร้วค่ะ...พระคุ้มครองน่ะลูก...ขอหั้ยเราเจอหมอที่ดีๆๆๆ..เข้าจัยเรา..สาธุ	5	Rama
ขอบคุณมากๆค่ะที่ร.พนี้มีหมอที่รักษาคนนนึงให้หายมาหลายครั้งจนตลอดอายุ30ได้ แม้แต่มะเร็งก็รักษาให้รอดตายได้ ไม่มีจะพูดได้มากกว่าคำว่าขอบคุณมากๆค่ะคุณหมอทุกคนที่รักษาค่ะ	5	Rama
"สงสัยฉันจะต้องไปใข้บริการที่นี่ ""ฉานจะซี้แง๊ๆๆหว้า"""	4	Rama
บริการดีค่ะ เป็นครั้งแรกที่มาโรงพยาบาลรามาธิบดี สะอาดมาก คุณหมอพูดเพราะ ☺️	4	Rama
คือเข้าใจนะคะว่าคนไข้เยอะ แต่นี่แผนกฉุกเฉิน นะคะ นั่งรอ 2 ชั่วโมงละ ยังไม่เรียกเลย เซ็ง	1	Rama
ดิ ชั้น น.ส.ฉัตรฐารัตณ์ ศรีสวัสดิ์ ต้องขอบขอบพระคุนขณะเพทย์ทุกท่าน ในปี52สูงอายุ21 22ปี หนุปวดท้องมากนึกว่าคงนี้ล่ะไส้ติ้งแตก ให้แทกซี่ใจดีไปส่ง จากยูเนี่ยนมอล ไปร.พ. อร์อยู่1ชั่วโมง คนเยอะมาก หมอไม่รุ้มาจากไหนทั้งนักศึกษา พยาบาล หมอ ญ ช ตรวจร่วม2ช.ม. บอกหนุต้องผ่าตัดเพราะท้องนอกมดลูก หนุไม่มีตังสักบาทเลยอยากกลับบ้าน พยาบาล ก้อวิ่งมาดึงแขน ไว้ สุดท้าย ได้รับการผ่า 21.00. _00.00น ไม่เสียเงินสักบาท เพราะฉุกเฉินมาก และความ ใจดีที่เหนความเปน ความตายคน มากกว่าเงิน หนุขอบคุนช้าไปหลายปี แต่หมอค่ะตอนนี้หนุสบายดี เพราะบุนคุนของรามาธิบดี ขอบคุนจริง ขอบคุนมากค่ะ	5	Rama
นางพยาบาลหน่วยคัดกรองศูนย์อุบัติเหตุและเวชศาสตร์ฉุกเฉิน ช่วงเวลา16.00น. วันที่21พ.ย.58 พยาบาลนั่งเล่นแต่มือถือขณะที่ปฏิบัติงาน พอคนไข้มาตรวจอาการชักสีหน้าใส่ ตรวจแบบขอไปที ไม่ถามอาการคนไข้ บอกว่าไม่เป็นอะไรให้ไปรอตรวจที่คลินิกดาวเหลือง แต่พอหมอตรวจบอกว่าติดเชื้อที่ปอด (ระหว่างรอมีชาวต่างชาติพาลูกมาตรวจสื่อสารภาษาอังกฤษไม่ได้ ไม่ยอมเรียกคนอื่นมาคุย จนผู้เป็นแม่เดินออกไปนั่งร้องไห้) ไม่ทราบว่าผู้บริหารของโรงพยาบาลจ้างพยาบาลคนนี้ มาได้อย่างไร เคยดูการทำงานของพยาบาลคนนี้บ้างหรือป่าว เข้าใจว่าคนไข้เยอะ แต่ต้องเข้าใจว่าเป็นงานที่บริการสาธารณะ ในเมื่อเลือกอาชีพนี้แล้วควรทำให้ดีไหม (ถ้าอยากทราบชื่อพยาบาลคนนั้น inboxมาได้)	1	Rama
ปลายสาย022004249 ไม่ทราบว่ารับมาทำงานได้ไง พูดจาน้ำเสียงแย่มาก เวลารับบุคลากรมาทำงาน ควรจะพิจารณาให้มาก ว่าทำงานบริการนะครับ คนเจ็บป่วยคือคนมีความทุกข์ ควรจะ มีน้ำเสียงที่ดี และเป็นมิตรมากกว่านี้ รพ.ใหญ่โต ปรับปรุง บุคลากรให้ดี จะเจริญขึ้นกว่านี้ครับ	1	Rama
การรับ การส่งต่อ การแนะนำ การรักษา บุคลากรทุกรู้จักหน้าที่และทำด้วยความเต็มใจผมพาลูกมารัษาสองปีได้รับความช่วยเหลือด้วยจิตใจที่ดีงามจากทุกท่านครับ	5	Rama
หัดรับพนักงานที่มีหัวนอนปลายเท้าหน่อยนะค้ะ พูดจาห่วยแตก กริยามารยาทไม่มี กวนตีนสุดๆ #พนักงานหน้าเคาเตอร์ x-rayช่อง1 เราจะเข้ามารับการรักษานะค้ะ ไม่ได้มาขอทาน!	1	Rama
การบริการของทีมแพทย์และพยาบาลรวมทั้งเจ้าหน้าที่งานต่างๆดูแลผมอย่างเป็นมิตรครับ	5	Rama
ห้องเจาะเลือดชั้น 1 ตึกพระเทพ นางแว่นที่นั่งอยู่เคาน์เตอร์พิมพ์บาร์โค้ดบริการได้ยอดแย่มาก พูดจาใช้อารมณ์กับคนไข้ เมิงเปลี่ยนระบบแล้วไม่คุยกัน ออกเอกสารผิด กรูเดินไปเดินมา แก้เอกสารหลายรอบแล้ว ยังจะมาสบถใส่กรูอีก กรูรู้เรื่องกะเมิงมั้ยเนี่ย อิระบบห่าเหว อะไรเนี่ย แถมยังให้กรูเจ็บตัวฟรีเจาะเลือดแล้วเจาะอีก แค่เอกสารออกผิด เมิงรู้มั้ยกว่าจะหาเส้นเจาะเลือดกรูได้มันยากขนาดไหน เจ็บด้วย อิห่าน เลิกทำงานที่นี่ แล้วไปไถนาเลยเมิง ไปทำงานกะควายเลยอิเฟี้ย เฟ็ดแฟร่ เลวยันเล็บ อารมณ์เสียอย่างแรง ห่วย!	1	Rama
อยากจะย้ายเด็ก อายุ3 เดือน มาที่รามา แต่ติดปัญหาที่เตียงเต็ม ขอร้องก็แล้ว อ้อนวอนก็แล้วเพราะน้องอาการหนักจริง แต่ก็ยังได้รับคำตอบเดิมๆ พอจะมีทางออกให้ญาติบ้างมั้ย กราบละคะ ส่งเคสReferไปที่รามาแล้วก็ยังเงียบ ...เด็กชายณฤทธิ์ศักดิ์ สงวนแสง ปัจจุบันรักษาตัวที่ห้อง icu รพ.อานันทมหิดล จ.ลพบุรี	4	Rama
โรงพยาบาลนี้บริการดี สะดวก สะอาด คุณหมอเก่ง พยาบาลก็ใจดี	5	Rama
4 ดาว สำหรับหมอและพยาบาล แต่ถ้าเปนแม่บ้าน ห่วยมาก พูดจาไม่ดี กริยาไม่ แย่ๆๆๆๆๆ อาคาร 1 ชั้น 9	4	Rama
เมื่อวันที่28 เมษายน58 เวลา บ่าย3โมงเพราะปวดท้องเป็นนิ้วในถุงน้ำดีในใจคิดมาตลอดว่า ร.พ. ของรัฐคงจะไม่ดี แต่ผมกับพบว่าเป๊น ร.พ.ที่ดีกว่า ร.พ.เอกชนเสียอีก ไม่ว่าจะเป็นสถานที่สอาด พยาบาลใจดีพูดดีมากๆ หมอทุกท่านก๊ดีจนผมน้ำตาซึม เอาเป็นว่าดีทุกอย่าง ผมจะฝากชีวิตกับ ร.พ.รามาตลอดไปขอขอบพระคุณ คุลคลากรมุกท่านมาด้วยครับ ธรรมนูญ กาญจนจูฑะ	5	Rama
เป็นรพ.ที่พัฒนาดี แต่เจ้าหน้าที่ชักสีน่า น้ำเสียง หน้าตาผิวพันดำคล้ำ แถมไม่สนใจคนไข้ ปล่อยให้ยืนเฉย #เจ้าหน้าที่ชั้น4เลเซอร์.	3	Rama
คลีนิคพรีเมืยม สุดยอดครับ เหมือน ร.พ.เอกชนเลย ไม่ต้องรอเข้าคิวแต่เช้า มาตามเวลานัดได้เลย แอร์เย็นสบาย	5	Rama
บริการดีมีใจใส่การเงินบางครั้งดุมาก	5	Rama
แย่มาก ลีลา ทำงานล่าช้า คนไข้เข้าไปตั้งแต่17.30 แต่ได้กลับตี1 คือไรคะ พยาบาลก็พูดจาไม่ไพเราะ ไม่มีครั้งที่สองแน่ๆสำหรับที่นี่	1	Rama
ขอชื่นชม รู้สึกดีมากๆ คุณหมอ พยาบาล เจ้าหน้าที่ บริการดี ให้คำปรึกษา พูดจาไพเราะมากๆๆ รู้สึกดีมากๆจริงๆค่ะ ขอบคุณทุกๆท่านนะคะ ที่เสียสละเป็นประชาชนอย่างเป็นมิตร	5	Rama
เพิ่งคลอดมาค้าแบบผ่าตัด ขอขอบคุณทีมงานทุกท่านนะค้า ดูแลดีมากๆค้า แผลผ่าตัด สวยค้าไม่มีรอยตะแขบเลย หนูน้อยก็สุขภาพร่ายการแข็งแรงดีค้า:)	5	Rama
ลูกเราซนมากทำน้ำหกโดนมองแบบ...เรางี้ทำไรมะถูกเลย...เลยถูพื้นเองอิอิ	4	Rama
ระบบห่วยแตก ทีหลังนัดแล้วช่วยตรงเวลาด้วย ไม่ใช่ให้คนไข้มานั่งรอ ก็มีธุระต้องทำเหมือนกัน รู้ว่าหมอไม่ได้ว่างขนาดนั้น แต่ช่วยเปลี่ยนจากช่วงเช้าช่วงบ่ายเป็นระบุเวลาที่ชัดเจนด้วย ถ้ากูรวยกูไปโรงบาลอื่นนานแล้ว ค่ายาคุณก็ไม่ถูกนะ แพงชิบหาย ระบบยังแย่อีก ทำงานรอเงินออกไปวันๆหรอวะ????	1	Rama
ชอบคุณหมอพยาบาลทุกท่านให้ความใส่ใจและคำแนะนำดีค่ะ	4	Rama
"ห่วยมากเรื่องที่จอดรถ โรงพยาบาลลงทุนทำป้ายถาวรมาติดไว้ว่า. ""ที่จอดรถเต็ม"" คือห้ามจอดเลยให้แวะส่งได้เท่านั้น ส่วนที่จอดที่ทำไว้ ทำให้หมอกับเจ้าหน้าที่เท่านั้น ห่วยสุดๆ"	1	Rama
คุณหมอกับพยาบาลแผนกOPD เด็กดีให้บริการดีมากทุกคน เสียอยู่อย่างเดียวแผนกยาเจอเจ้าหน้าที่คนท่ีคิดราคายาบริการห่วยแตก พูดจาแย่มาก คุนหมอสั่งยามาจำนวนหนึ่งแต่พอรับยาได้รับไม่ครบจำนวนก็ถามเจ้าหน้าที่จ่ายยา เขาตอบกลับมาว่าจ่ายได้เพียงเท่านี้เราก็ไม่เข้าใจก็ถามกลับไป เพราะกลัวว่ายาจะไม่พอ คนที่คิดราคายาตอบมาว่าจ่ายครั้งละเท่านี้ เราถามกลับว่าส่วนที่ขาดเราจ่ายเองได้มั๊ย เพราะใช้บัตร30บาท ส่วนี่เหลือเรายินดีจ่าย ยามันจะได้ครบ แต่โดนสวนกลับมาว่ามีเงินก็ซื้อไม่ได้( ด้วยน้ำเสียงที่ไม่น่าฟังเลย ฟังแล้วอารมณ์ขึ้นอยากจะด่ากลับไป) ช่วยอบรบเจ้าหน้าที่ เกี่ยวกับคำพูดที่เหมาะสมและน้ำเสียงที่น่าฟังเวลาพูดกับผู้มารับบริการด้วย	3	Rama
พยาบาลป้าๆมีอายุหน่อยแผนกหู คอ จมูกชั้นสองตรงช่องยื่นตรวจบัตรพูดจากับคนไข้แย่มากๆคะ ทั้งหน้าตาไม่รับแขกแถมพูดจาเสียงแข็งๆรู้สึกแย่มาก คุณเป็นพยาบาลควรจะมีจิตสำนึกและใจรักบริการกว่านี้นะคะ ถ้าไม่อยากทำก็ลาออกไปเถอะคะ โรงพยาบาลก็ไม่ใช่ไม่มีชื่อเสียงแถมมีมาตรฐานในการรักษาคนไข้ที่ดีด้วย แต่มันจะเสียเพราะคนอย่างคุณนี่ละคะ โรงพยาบาลลองรับเอาไปพิจารณาปรับปรุงในส่วนนี้มากๆด้วยนะคะ	1	Rama
รอยานานมาก ระบบจัดการแย่ เสียเวลา อยากให้มีนะบบการจัดการที่ดีกว่านี้ โดยเฉพาะสวัสดิการสำหรับนักศึกษา	1	Rama
มารอคลอดที่ร.พ.รามา กับคุณหมออดิเทพ แจ้งไปแล้วตั้งแต่วันที่ 2 พ.ค. 58 ว่าฤกษ์คลอด คือ 6.20 น. วันนี้เข้ามา นอนรอเตรียมผ่าล่วงหน้า 1 วัน พยาบาลแจ้งว่า เวลาผ่า 7.30 น. แล้วก็มีพยาบาลห้องคลอดมาบอกว่า เวลาผิด เวลาที่ต้องเข้าไปเตรียมตัว 15 นาทีคือ 6.00 น. และคุณหมอจะเริ่มลงมีด เวลา 6.19 น. เลยบอกว่า ขอเป็น 6.21 น. ละกันเพราะกลัวคลาดเคลื่อน พยาบาลห้องคลอดคนเดิมพูดจาไม่ดีบอกคุณหมออาจไม่โอเค เพราะพรุ่งนี้คิวเยอะ ฤกษ์ดี เลยตกใจว่า 1 นาทีก็รอไม่ได้เชียวหรือ ทำไมต้องทำให้เครียดด้วยเวลาแค่นาทีเดียว เราก็ได้หาฤกษ์มาแล้ว และพยาบาลห้องคลอดที่นี่ก็พูดจาไม่ตรงกัน คนนึงบอกหมอคนนี้ใช้เวลา 15 นาที อีกคนบอกเวลาลงมีดกับเวลาผ่าคือเวลาเดียวกัน สับสนมาก ได้แต่ขอสิ่งศักดิ์สิทธิ์ให้พรุ่งนี้ผ่าคลอดโดยไม่มีอุปสรรคทีเถอะ	1	Rama
ได้รับการบริการที่ดีค่ะ	5	Rama
วันนี้คนไข้เยอะมากม้าก...!!!สงสัยคิวยาวแน่...ที่นั่งไม่มีเลย...ว๊าาา...แย่จัง	4	Rama
]วันนี้ไปที่เวชศาสตร์ครอบครัว ครับ เป็นคนไข้ใหม่ ไม่ทันคิวตรวจ ห้องสัมภาษณ์ จนท.ไม่สนใจถามอาการป่วย เลย บอกให้มาใหม่ๆๆๆๆ ไม่ง้อว่าจะมาตรวจ หรือไม่มา. ครับ	5	Rama
