0	score	hospital
"ประทับใจมากๆเลยครับผมเป็นโรคธาลัสซีเมียตั้งแต่กำเนิดและก็ได้รับเลือดที่โรงพยาบาลศิริราชจนผมได้รักษาปลูกถ่ายไขสันหลังทำให้ปมหายจากอาการผิดปกติที่เกิดขึ้นแต่เพราะโรคธาลัสซีเมียเป็นโรคที่ไม่หายขาดแต่โรงพยาบาลนี้ก็ทำให้ผมได้ใช้ชีวิตปกติแบบคนอื่นได้ครับทั้งนี้แล้วสำหรับตอนนี้ผมยังคงต้องตรวจเลือดตลอดเวลาที่คุณหมอนัดเพื่อดูดีเอ็นเอและค่าต่างๆของร่างกายและยังต้องตรวจตาอีกด้วยซึ่งการตรวจทุกอย่างผมตรวจที่โรงพยาบาลศิริราชครับ"	5	Siriraj
คุณหมอ รวมถึงผู้ช่วยพยาบาลและบุคคลากรของโรงพยาบาลดูแลดีครับ ใช้คำพูดน่าฟังสุภาพเป็นกันเองต่อผู้ป่วย ตอนที่เกิดอาการหอบรีบไป โรงพยาบาล คุณหมอรีบเข้ามาดูอาการแล้วใช้เครื่องพ่นยาพ่นให้ ทำให้สบายขึ้นหายใจได้ดีขึ้น หลังจากพ่นยาก็ยังคอยดูแลอีกซักระยะจนหายดีคุณหมอจึงจ่ายยาให้กลับพักผ่อนที่บ้านได้ รวมๆแล้วโอเคกับโรงพยาบาลที่นี่ครับ	5	Siriraj
"เนื่องด้วยตัวเราเองป่วย และต้องรักษาตัวที่โรงพยาบาลศิริราช มาหลายปี การที่มาที่โรงพยาบาลนี้บ่อยๆทำให้สังเกตเห็นได้ว่า บุคคลากรที่นี่มีคุณภาพมากๆ ระดับดีเยี่ยมเลยจริงๆ ประทับใจตั้งแต่ พนักงานรักษาความปลอดภัย พนักงานเคลื่อนย้ายผู้ป่วย พยาบาล จนกระทั่งหมอ ประทับใจไปหมดทุกอย่างเลยจริงๆ วันนี้ตั้งใจเขียนกระทู้นี้ ให้กำลังใจทุกๆคนที่ทำงานในศิริราช พนักงานรักษาความปลอดภัยเราสังเกตว่าเขาจะตรวจดูในอาคารด้วย เดินดูทั่วอาคารเลย ดูแลความปลอดภัยดีมาก เวลาจะข้ามถนน ที่นี่ คนเดินเท้าใหญ่กว่ารถ และรถเข็นคนไข้ ใหญ่ที่สุด คือถ้ามีรถเข็นจะข้ามปุ๊บ โบกให้รถยนต์จอดก่อนเสมอ พนักงานเคลื่อนย้ายผู้ป่วยเป็นอีกหน่วยหนึ่งที่ปลื้มใจสุดๆเมื่อวานสดๆร้อนๆ เราเองต้องนั่งรถเข็น ฝนก็ตก เราเองจะไปจากตึกสยามมินไปโรงอาหาร ก็ให้แม่เข็นไปให้  พอ พี่พนักงานเห็น เขารีบเข้ามาถามว่า ไปไหนครับ เดี๋ยวผมเข็นให้ พอไปถึงหน้าโรงอาหารมันมีน้ำขังจากฝนตกอยู่ เราเห็นแล้วก็จะบอกว่า พี่ส่งตรงนี้ก็ได้คะ เดี๋ยวจะเดินไปเอง(ใช้ไม้เท้าเดิน) กำลังจะอ้าปากพูดเนี่ยแหละคะ ขาพี่แกก้าวลงน้ำมาแล้ว ทุ่มตัวสุดๆ (รู้สึกผิดในใจ) รองเท้าผ้าใบจมเกือบมิดเลยคะ มันต้องอับไปทั้งวันแน่ๆเลย พอถึงที่ เราก็ยกมือไหว้ขอบคุณ พี่พนักงานยกมือรับไหว้ บอกไม่เป็นอะไรครับ แต่รองเท้าพี่แก แฉะเลย ซึ้งใจมากๆ"	5	Siriraj
"ไปพบคุณหมอที่ศิริราชแผนกจิตเวชเป็นคลินิกพิเศษนอกเวลา คุณหมอเก่งมากๆ พูดจาดี ใจดีมากๆ พยาบาลก็น่ารัก สอบถามเรื่องอะไรก็ตอบอย่างละเอียด ไม่เหวี่ยงไม่วีนเลยค่ะสถานที่ก็ดีค่ะ สะดวกสบาย ทางรพ.จัดได้เป็นระบบระเบียบ  สามารถนัดเวลาไปพบคุณหมอได้ค่ะ รอไม่นานเพราะไปตามเวลาที่นัด ถึงจะเป็นคลินิกพิเศษนอกเวลา แต่ค่าหมอไม่แพงเลยค่ะ ค่ายารักษาราคาจะอยู่ที่ยาแต่ละตัวที่คุณหมอจ่ายค่ะ โดยรวมแล้วดีมากค่ะ"	5	Siriraj
โรงบาลศิริราช ถือว่าดีอำดับต้นๆของประเทศเลบ หมอบริการดี พูดจาดี รักโรงบาลนี้สุด เพราะเคยไปใช้บริการมาหลายครั้ง พยาบาลพูดจาเป็นกันเอง เข้าใจผู้ป่วย ไม่รอนาน ไม่มีโรงบาลไหนดีเท่านี้แล้วละครับ ผมเคยไปนอนที่โรงบาลนี้ เหมือนปลายปีก่อน ตอนนั้นไปติดหวัดจสกการไปเที่ยวต่างประเทศ กลับมาเป็นไข้หวักหนัก เลยแอดมิทที่ฌรงพยายาบนี้ ค่าใช้จ่ายไม่แพง ดีกว่าเอกชนไปอีก	5	Siriraj
"กำลังรักษากับหมอหนังศรีษะที่โรงพยาบาลแผนกผิวหนังชั้น 4 ตึกผู้ป่วยนอก ดีมากค่ะให้การรักษาที่ได้รับผลกระทบน้อยที่สุด เคยรักษาที่โรงพยาบาลอื่นแต่ก็กังวลกับผลข้างเคียงตลอดเลย แนะนำให้ไปในเวลาก็ได้ถ้าสามารถไปได้ในวันธรรมดาเพราะค่ารักษาจะถูกกว่าคลินิกพิเศษ ส่วนตัวเคยไปทั้งสองคลินิกแล้วให้การรักษาดีทั้งคู่ คิวของที่ศิริราชไม่ได้รอนานถ้าเราไปตามวันเวลาที่นัดสำหรับผู้ป่วยใหม่นั้นแนะนำ1.ให้เสียเวลาวันหนึ่งไปทำบัตรผู้ป่วยก่อน ชั้น 1 แต่จำตึกไม่ได้เสร็จแล้วก็ทำการนัดคิว2.ให้มาตามคิวที่นัดได้เลย3.พอตรวจเสร็จก็จะมีการทำนัดครั้งถัดไป"	5	Siriraj
บริการดีมาก ตอนแรกได้ยินคำร่ำลือมาว่ารอนานมาก แต่พอไปจริงๆ ทุกอย่างเป็นระบบมาก คือไม่ได้รอนานอะไรเลย หรืออาจจะเป็นเพราะเราไปคลินิคนอกเวลา ^^ ส่วนในเรื่องของการรักษาโอเคมากคะ ขนาดเรารู้ว่าเราเป็นอะไร แต่ตั้งใจไปที่นี่ครั้งแรกเพื่อที่จะเริ่มตรวจใหม่ทั้งหมด แจ้งอาการไปคุณหมอเหมือนทราบทันที  ทีนี้แต่รอผลเลือดยืนยันเท่านั้น	5	Siriraj
เป็นโรงพยาบาลที่ดีมากค่ะบริการดีหมอดีมากๆค่ะ คือวันที่ฉันไปตอนเช้าค่ะ มีการบริการที่ดีมากจองคิวได้ไวมากค่ะ โรงพยาบาลทำให้เรารู้สึกปลอดภัยที่จะมารักษาโรคค่ะ พาพบกับคุณหมอคือคุณหมอที่นั้นใจดีมากค่ะแนะนำให้คำปรึกษาเราละเอียดดีมากและที่สำคัญรักษาโรคได้เชี่ยวชาญมากเป็นคุณหมอที่ดีมากๆทุกคนเลยค่ะ ตอนบริการจ่ายยาก็รอไม่นานค่ะ ในตัวโรงพยาบาลกว้างขว้างมากมีห้องพิเศษรองรับคนไข้เยอะมากค่ะ	5	Siriraj
มาหาหมอจิตแพทย์ครั้งแรกที่นี้ ประทับใจการดูและและพูดของคุณหมอมาก ขอบคุณพยาบาลและเจ้าหาที่ทุกคนค่ะ กล้าบอกเลยว่าค่อนข้างกลัวเพราะระแวง ยิ่งอ่านรีวิวยิ่งกลัวเกี่ยวกับการเข้าพบจิตแพทย์ กลัวโดนด่า กลัวโดนติ กลัวคนขึ้นเสียงใส่ แต่คุณหมอสุภาพมาก และกำชับว่าที่เราเป็นมีทางรักษาให้หายได้ ขอบคุณกำลังใจและสติดีๆจากคุณหมอของศิริราชด้วยค่ะ ไปโรงพยาบาลอื่นจะเดินทางงงกับตึกต่างๆ แต่ทาง รพ.ศิริราชมีการจัดการระบบต่างๆ และตึกต่างๆทำให้เดินหาสถานที่ได้โดยไม่ต้องเสียเวลามากด้วยค่ะ	5	Siriraj
โรงพยาบาลศิริราชเป็นโรงพยาบาลขนาดใหญ่ระดับต้นของประเทศ และมีคนไข้ไปรักษาที่นี่เยอะมากๆ เพราะวินิจฉัยโรคได้แม่นยำ และศักยภาพในการรักษาที่เพียบพร้อม คุณหมอใจดีมากๆ ทั้งที่คนไข้แต่ละวันมีจำนวนมาก แต่จากการวางระบบต่างๆที่ยอดเยี่ยม ทำให้ไม่เกิดความสับสนต่อคนไข้ และสะดวก รวดเร็วมาก ตั้งแต่ขั้นตอนการทำบัตร จนกระทั่งรอคิว และได้เข้าพบแพทย์ สามารถทำบัตรผู้ป่วยออนไลน์ได้ และยังสามารถนัดตรวจคลินิกพิเศษออนไลน์ได้ด้วย ประทับใจมากๆ	5	Siriraj
คุณหมอเข้าของไข้ผ่าตัดดี แต่นศพ ดึงสายเลือดออก จึงต้องทำให้ผ่ารอบสอง ต้องโทรหาอาจารย์ตลอดการผ่า รอดตายมาได้ จนทำให้คอเป็นถึงทุกวันนี้ คอยึด คอตึง กลืนยาเม็ดใหญ่ไม่ได้ พยาบาลแผนกคอนิสัยน่ารักแต่แผนงรังสี หมอดีค่ะ ให้คำปรึกษาดี ทุกอย่างโอเคหมด แย่ตรงผ่าคอรอบสองครั้งนั้นค่ะ จนเป็นปีแล้ว คอก็ไม่ดีขึ้นค่ะ	1	Siriraj
หมอสามารถให้คำปรึกษาได้ดีมาก ติดตามอาการการรักษาตลอด ไปหาหมอด้วยอาการปวดข้อเข่า หมอสามารถให้คำปรึกษาได้ดีมาก ติดตามอาการการรักษาตลอด ไปหาหมอด้วยอาการปวดข้อเข่า หมอสามารถให้คำปรึกษาได้ดีมาก ติดตามอาการการรักษาตลอด ไปหาหมอด้วยอาการปวดข้อเข่า หมอสามารถให้คำปรึกษาได้ดีมาก ติดตามอาการการรักษาตลอด ไปหาหมอด้วยอาการปวดข้อเข่า	5	Siriraj
"อาการนิ้วมือ นิ้วเท้า ชา ตลอดเวลา มกมากกว่า 1 ปี เคยรักษาแบบเวชศ่สตร์ฟื้นฟูกฌดีขึ้นเป็นพักๆ แล้วก็กลับมาเป็นอีก แรกๆนึกว่าเป็นเพราะหมอนรองกระดูกที้คอ และหลังเสื่อม จึงเป็รสาเหตุให้ชา แต่คุณหมอเวขศาสตร์บอกว่ายังไม่น่าใช่ ให้ลองพบหมอ neuro ดูก่อนคุณหมอ neuro ตรวจแล้ว พยว่าเส้นประสาทอักเสยเล็กน้อย ให้ทานสิตามินบำรุงแก้ชา"	4	Siriraj
ไปผ่าตัดเนื้อบอกในสมองเมื่อปี 2546 หมอทำให้ดิฉันเดินไม่ได้มาจนปัจจุบันเป็นเวลา 15 ปีแล้ว ซึ่งน้าชายของดิฉันก็จบแพทย์จากที่ศิริราชแล้วหมอที่ผ่าตัดให้ดิฉันก็จบหลังน้าชายของดิฉันอีกทำให้ดิฉันผิดหวังกับการรักษาในครั้งนี้มากๆเลยค่ะซึ่งครอบครัวฉันก็ไม่ได้มีฐานะอะไรมากมายเลยตาเป็นข้าราชการบำนาญยายเป็นแม่บ้าน	1	Siriraj
วันนี้ไปหาหมอศิริราช พอดีมีไข้ขึ้นสูง ไอจนเจ็บขึ้นสมอง อ่อนเพลียมาก ไอจนเจ็บหน้าอก ท้องเสีย ไข้ขึ้น ตอนแรกพยาบาล(เสื้อสีฟ้า)ที่อยู่ตรงยื่นบัตรเค้าบอกว่าไม่มีคิวให้คนไข้มาแจ้งตรงพยาบาลคัดกรองด้านหน้าสุดของตึก ย้ำ(พยาบาลที่อยู่หน้าสุด ตรงประชาสัมพันธ์) เราเดินมาเจอพยาบาลคนแรกเค้าก็เลยบอกว่าต้องรอรถเพราะถ้าเราไม่ไหวก็ต้องรอรถ จนเค้าคุยกับพยาบาลคนที่สองคนที่สองถามอีกครั้งว่าเป็นอะไร เราก็บอกเค้าบอกอาการไปอีกครั้ง พยาบาลบอกว่าเพราะไอใช่ไหมก็เลยเจ็บ เราก็บอกว่า เรามีไข้ขึ้นมาก อ่อนเพลีย ยืนจนไม่ไหวแล้ว พยาบาลคนนี้ก็บอกว่าเพราะไอเยอะมันก็เจ็บหน้าอก พยาบาลแจ้งว่าคนไข้ไอแล้วเจ็บมันเป็นเรื่องปกติ (คนนี้พูดไม่ดีเลย ไม่ดีเลยตะคอกใส่อีก แล้วพยาบาลก็พยายามบอกว่าไม่รู้มีคิวไหม) จนเรารอไม่ไหวก็เลยตัดสินใจไปร.พ.เอกชน สรุปว่าคือเราเป็นไข้หวัดใหญ่ สายพันธ์ A แค่อยากจะบอกพยาบาลว่า ถ้าเราไม่ป่วยเราคงไม่ไปร.พ.หรอก แล้วคำพูดที่ตะคอกใส่คนไข้อ่ะ มันไม่โอเค เพราะเค้าป่วยเค้าก็ไม่โอเคแล้วคุณเป็นพยาบาลอ่ะคุณมาพูดไม่ดีใส่เค้าอีกอ่ะ มันไม่โอเคค่ะ กับพยาบาลด้านหน้าตึกตรงประชาสัมพันธ์	3	Siriraj
โรงพยาบาลมีคลินิคผู้ป่วยนอก มีคนมาใช้บริการเยอะมาก แต่ผู้ให้บริการ ผู้ช่วยเข็น พยาบาล ก็ปฏิบัติต่อทุกคนเท่าเทียมและเป็นมิตร มีรอยยิ้ม มีการบริการที่ดี ให้คำแนะนำที่ดี ให้คำอธิบายต่างๆด้วยความใส่ใจและช่วยเหลือดีมาก ความประทับใจนี้ทำให้ลืมเรื่องรถติดและคนมากมายไปเลย ที่ประทับใจคือคุณหมอให้เวลากับคนไข้ ให้ความรู้และอธิบายอาการของโรค สอบถามและใส่ใจในอาการของคนไข้ดีมากค่ะ ทำให้คนป่วยมีความรู้สึกสบายใจที่อยากจะมารักษาที่นี่	3	Siriraj
เป็นโรงพยาบาลใหญ่ ที่อุปกรณ์ครบครัน เดินทางไปสะดวก คุณหมอและพยาบาลใส่ใจคนไข้ ดูแลดีมากๆ	5	Siriraj
สอบถามค่ะ มีใครจองคิวกับเว็บนี้แล้วได้คิวจริงๆบ้างคะแบบไปแล้วรักาาได้เลย คือกลัวเสียเวลา	5	Siriraj
โรงพยาบาลมีคลินิคผู้ป่วยนอก มีคนมาใช้บริการเยอะมาก แต่ผู้ให้บริการ ผู้ช่วยเข็น พยาบาล ก็ปฏิบัติต่อทุกคนเท่าเทียมและเป็นมิตร มีรอยยิ้ม มีการบริการที่ดี ให้คำแนะนำที่ดี ให้คำอธิบายต่างๆด้วยความใส่ใจและช่วยเหลือดีมาก ความประทับใจนี้ทำให้ลืมเรื่องรถติดและคนมากมายไปเลย ที่ประทับใจคือคุณหมอให้เวลากับคนไข้ ให้ความรู้และอธิบายอาการของโรค สอบถามและใส่ใจในอาการของคนไข้ดีมากค่ะ ทำให้คนป่วยมีความรู้สึกสบายใจที่อยากจะมารักษาที่นี่	5	Siriraj
ดิฉันมีอาการสะอึกไม่หยุดทุกๆครึ่งชม. ตอนกลางคืนแค่รู้สึกตัวตื่น พลิกตัว ก็เกิดอาการสะอึกขึ้นมา และมีอาการไอ ไอรุนแรง จนอ้วก เกิดอาการมา1เดือนแล้ว พอจะมีวิธีรักษามั้ยคะ	4	Siriraj
นั่งคุยปกติไม่มีอาการอะไรอยู่ๆก็ปวดท้องจื้ดขึ้นมาเลยแล้วท้องก็จะเริ่มแข็งขึ้นแล้วเมือนบวมขึ้นๆแล้วจะลุกขึ้นมานั่งไม่ได้พักนึงและเจ็บเป็นมารอบนี้รอบที่2แล้วอ่ะค่ะ	5	Siriraj
หมอกระดูก ห่วยแตก วินิจฉัยโดยไม่ตรวจอาการคนไข้	1	Siriraj
คุณหมอมีความน่ารัก เป็นกันเอง พยาบาลใจดี แม้ว่าจะผิดนัด แล้วคิวคุณหมอยาวมาก ก็ยังสามารถให้วอร์คอินเข้าไปได้ ต้องขอบคุณจริงๆค่ะ	5	Siriraj
กาให้บริการและการตรวจรักษาดีมากๆพูดจากับคนไข้ก็ยิ้มแย้ม  ผิดกับโรงพยาบาลรัฐบางแห่ง ตวาดคนไข้ซะไม่อยากไปหาเลย อยู่แถวสามพรานแต่นั่งรถไปหาหมอที่ศิริราชเสียเงินก็ยอมเพราะที่ รพ.ศิริราชบริการคนไข้ดีมากๆ	5	Siriraj
หนูไปพบหมอจิตแพทย์มาค่ะ หนูเป็นโรคทูเร็ตต์ชนิดรุนแรงต้องใช้ยาบำบัด หนูไปหาหมอที่โรงพยาบาลอื่นมาก่อนแต่ไม่ดีขึ้นทั้งที่ปรับยาไปเยอะมากค่ะ แต่พอมาเจอคุณหมอท่านนี้ หนูรู้สึกว่าหนูสามารถกลับเป็นปกติได้ คุณหมอสอบถามอาการที่เป็นและยาที่เคยใช้ค่ะ แล้วท่านก็วิเคราะห์จากอาการและยาที่เคยใช้ และปรับยาให้ใหม่ค่ะ ซึ่งการปรับยานั้นเป็นที่พอใจสำหรับหนูมากค่ะ ทำให้หนูคิดว่าทำไมไม่มาที่นี่แต่แรก คุณหมอให้ความหวังกับหนูและบอกว่าหนูจะหายเป็นปกติได้ หนูรู้สึกว่ามันต้องหายได้แน่นอน คุณหมอท่านนี้มีอารมณ์ขันมากและเข้าใจวัยรุ่นมากค่ะ หนูคิดว่าถ้าวัยรุ่นที่อยากจะหาหมอจิตแพทย์ก็ควรมาพบกับท่านนี้ดูนะคะ ถึงจะเป็นครั้งแรกที่หนูไปรักษากับท่าน แต่ท่านก็วิเคราะห์ปัญหาและอาการของหนูได้ดีและแม่นยำมากค่ะ	5	Siriraj
ประทับใจการรักษาและดูแลคนไข้ของศิริราชมาก ทีมแพทย์และพยาบาล มืออาชีพ ทุกคนน่ารัก เอ็นดูลูกสาวของดิฉัน ให้ความเอาใจใส่เป็นอย่างดี  ขอบคุณที่นี้จากใจจริงๆค่ะ เราจะไม่ลืมเลย	5	Siriraj
เนื่องจากไม่เคยไปรับการรักษา ไปครั้งแรก เพราะหมอที่ดูแลอยู่แนะนำไป ก็เลย แบบไม่รู้เรื่อง แต่เจ้าหน้าที่ที่ดูแล ให้การบริการดีมากๆๆๆค่ะ เข้า ชัดเจนทุกขั้นตอน ไม่หงุดหงิดใส่ ดูแลคนไข้ตามลำดับอาการป่วย ตอบข้อสักถามดีมาก ทั้ง ๆ ที่คนก็เยอะ คนไม่เข้าใจก็เยอะ ชอบค่ะ ดีกว่ารพ เอกชนอีก ที่ไม่ค่อยดูแลเราแบบนี้เลย เป็นกำลังใจให้เจ้าหน้าที่ทุกคนเลยนะค่ะ สู้ ๆ	5	Siriraj
ตั้งแต่เจ้าหน้าที่ รวมไปถึงพยาบาลและหมอ ให้บริการดีมากไม่มีอาการหงุดหงิดหรือแสดงสีหน้าไม่ดีกับคนไข้เลย รักษาดี ช่วยเหลือผู้ป่วยที่ยังช่วยเหลือตัวเองไม่ได้แบบว่าดีเยี่ยมมาก ถ้ามีลูกคนต่อไป จะคลอดที่โรงพยาบาลศิริราชเหมือนเดิม	5	Siriraj
ได้ไปส่องก้ลองตรวจลำไส้ หมอให้ดูภาพภายในำไส้ แย้วทึ่งมาก ประทับใจ คุณหมอแจงรายละเอียดชัดเจน ภายในเป็นแผล หมอซ่อมแซมให้เรียบร้อย	5	Siriraj
หมอเก่ง สามารถหาสาเหตุอาการป่วยของคุณพ่อ และชาวยรักษาได้ดีด้วย	5	Siriraj
พยาบาลใจดี	4	Siriraj
เคยเป็นต่อมน้ำเหลืองอักเสบและภูมิแพ้ แล้วได้รักษาที่ศิริราชของคุณหมอดูแลคนไข้ดีมาก ตรวจหาสาเหตุอย่างละเอียด ตอนเจาะน้ำเหลืองที่คอมาตรวจ มือเบามาก แล้วก็นัดทุกสัปดาห์เพื่อติดตามอาการให้ยาติดต่อกันจนทำให้อาการดีขึ้นค่ะ	5	Siriraj
